Jahrgangsstufe,Kapitel,Unterkapitel,Aufgabe,Beschreibung,AFB,Minimalfahrplan,Kompetenz
6,2 - Addition und Subtraktion von Brüchen,2.1 - Addieren und Subtrahieren gleichnahmniger Brüche,6,,AFB_II,,K4
6,2 - Addition und Subtraktion von Brüchen,2.1 - Addieren und Subtrahieren gleichnahmniger Brüche,7,,AFB_II,,K3 K6
6,2 - Addition und Subtraktion von Brüchen,2.1 - Addieren und Subtrahieren gleichnahmniger Brüche,8,,AFB_II,,K1
6,2 - Addition und Subtraktion von Brüchen,2.1 - Addieren und Subtrahieren gleichnahmniger Brüche,9,,AFB_II,Ja,K2
6,2 - Addition und Subtraktion von Brüchen,2.1 - Addieren und Subtrahieren gleichnahmniger Brüche,10,,AFB_II,Ja,K2 K5
6,2 - Addition und Subtraktion von Brüchen,2.1 - Addieren und Subtrahieren gleichnahmniger Brüche,11,,AFB_II,,K2
6,2 - Addition und Subtraktion von Brüchen,2.1 - Addieren und Subtrahieren gleichnahmniger Brüche,12,,AFB_II,,K5
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,1,,AFB_II,Ja,K5
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,2,,AFB_II,Ja,K2 K6
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,3,,AFB_II,Ja,K1
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,4,,AFB_II,,K5
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,5,,AFB_II,,K5
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,6,,AFB_II,Ja,K5
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,7,,AFB_II,,K4
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,8,,AFB_II,,K1 K3
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,9,,AFB_II,Ja,K1 K5
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,10,,AFB_II,Ja,K6
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,11,,AFB_II,Ja,K5
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,12,,AFB_II,Ja,K1
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,13,,AFB_II,,K3 K5
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,14,,AFB_II,,K4 K5
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,15,,AFB_II,,K1 K2 K3
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,16,,AFB_II,Ja,K1 K6
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,17,,AFB_II,Ja,K5
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,18,,AFB_II,Ja,K2 K3
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,19,,AFB_II,,K5
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,20,,AFB_II,Ja,K4 K5
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,21,,AFB_II,,K4
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,22,,AFB_II,Ja,K3
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,23,,AFB_II,,K2
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,24,,AFB_II,,K1
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,25,,AFB_II,,K2 K5
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,26,,AFB_II,,K2 K3
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,27,,AFB_II,Ja,K6
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,28,,AFB_II,Ja,K5
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,29,,AFB_II,Ja,K2
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,30,,AFB_II,,K2
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,31,,AFB_II,,K2
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,32,,AFB_II,,K1 K5
6,2 - Addition und Subtraktion von Brüchen,2.2 - Addieren und Subtrahieren ungleichnahmiger Brüche,33,,AFB_II,,K5
6,2 - Addition und Subtraktion von Brüchen,2.3 - Addieren und Subtrahieren gemischter Zahlen,1,,AFB_II,Ja,K5
6,2 - Addition und Subtraktion von Brüchen,2.3 - Addieren und Subtrahieren gemischter Zahlen,2,,AFB_II,,K2 K5
6,2 - Addition und Subtraktion von Brüchen,2.3 - Addieren und Subtrahieren gemischter Zahlen,3,,AFB_II,Ja,K4 K5
6,2 - Addition und Subtraktion von Brüchen,2.3 - Addieren und Subtrahieren gemischter Zahlen,4,,AFB_II,,K5 K6
6,2 - Addition und Subtraktion von Brüchen,2.3 - Addieren und Subtrahieren gemischter Zahlen,5,,AFB_II,Ja,K3 K5
6,2 - Addition und Subtraktion von Brüchen,2.3 - Addieren und Subtrahieren gemischter Zahlen,6,,AFB_II,Ja,K5
6,2 - Addition und Subtraktion von Brüchen,2.3 - Addieren und Subtrahieren gemischter Zahlen,7,,AFB_II,Ja,K3 K5
6,2 - Addition und Subtraktion von Brüchen,2.3 - Addieren und Subtrahieren gemischter Zahlen,8,,AFB_II,Ja,K6
6,2 - Addition und Subtraktion von Brüchen,2.3 - Addieren und Subtrahieren gemischter Zahlen,9,,AFB_II,Ja,K2 K5
6,2 - Addition und Subtraktion von Brüchen,2.3 - Addieren und Subtrahieren gemischter Zahlen,10,,AFB_II,Ja,K2 K3 K5
6,2 - Addition und Subtraktion von Brüchen,2.3 - Addieren und Subtrahieren gemischter Zahlen,11,,AFB_II,,K2 K5
6,2 - Addition und Subtraktion von Brüchen,2.3 - Addieren und Subtrahieren gemischter Zahlen,12,,AFB_II,,K5 K6
6,2 - Addition und Subtraktion von Brüchen,2.3 - Addieren und Subtrahieren gemischter Zahlen,13,,AFB_II,,K1
6,2 - Addition und Subtraktion von Brüchen,2.3 - Addieren und Subtrahieren gemischter Zahlen,14,,AFB_II,Ja,K1 K5
6,2 - Addition und Subtraktion von Brüchen,2.3 - Addieren und Subtrahieren gemischter Zahlen,15,,AFB_II,Ja,
6,2 - Addition und Subtraktion von Brüchen,2.3 - Addieren und Subtrahieren gemischter Zahlen,16,,AFB_II,,K2 K5
6,2 - Addition und Subtraktion von Brüchen,2.3 - Addieren und Subtrahieren gemischter Zahlen,17,,AFB_II,,K1 K4
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,1,,AFB_II,Ja,K5
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,2,,AFB_II,Ja,K5
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,3,,AFB_II,,K1 K5
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,4,,AFB_II,Ja,K2 K3 K5
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,5,,AFB_II,,K4
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,6,,AFB_II,Ja,K1 K6
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,7,,AFB_II,Ja,K5
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,8,,AFB_II,Ja,K3 K5
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,9,,AFB_II,,K2
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,10,,AFB_II,,K5
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,11,,AFB_II,,K1 K6
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,12,,AFB_II,,K1
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,13,,AFB_II,,K1 K4
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,14,,AFB_II,,K4 K6
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,15,,AFB_II,,K3 K5
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,16,,AFB_II,Ja,K4 K5
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,17,,AFB_II,Ja,K1 K2 K3 K5
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,18,,AFB_II,,K2
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,19,,AFB_II,Ja,K2
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,20,,AFB_II,Ja,K1 K2
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,21,,AFB_II,,K2
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,22,,AFB_II,,K2 K6
6,2 - Addition und Subtraktion von Brüchen,2.4 - Addieren und Subtrahieren von Dezimalbrüchen,23,,AFB_II,,K5
6,2 - Addition und Subtraktion von Brüchen,Wiederholen,1,,AFB_II,,K5
6,2 - Addition und Subtraktion von Brüchen,Wiederholen,2,,AFB_II,,K4 K5 K6
6,2 - Addition und Subtraktion von Brüchen,Wiederholen,3,,AFB_II,,K5 K6
6,2 - Addition und Subtraktion von Brüchen,Wiederholen,4,,AFB_II,,K3 K5
6,2 - Addition und Subtraktion von Brüchen,Wiederholen,5,,AFB_II,,K1 K3
6,2 - Addition und Subtraktion von Brüchen,Wiederholen,6,,AFB_II,,K2 K5
6,2 - Addition und Subtraktion von Brüchen,Wiederholen,7,,AFB_II,,K1 K2 K6
6,2 - Addition und Subtraktion von Brüchen,Wiederholen,8,,AFB_II,,K2 K5
6,2 - Addition und Subtraktion von Brüchen,Wiederholen,9a,,AFB_II,,K2 K4 K6
6,2 - Addition und Subtraktion von Brüchen,Wiederholen,9b,,AFB_II,,K2 K4
6,2 - Addition und Subtraktion von Brüchen,Wiederholen,10,,AFB_II,,K1 K4 K5
6,2 - Addition und Subtraktion von Brüchen,Wiederholen,11,,AFB_II,,K2 K6
6,2 - Addition und Subtraktion von Brüchen,Wiederholen,12,,AFB_II,,K1 K2 K4
6,2 - Addition und Subtraktion von Brüchen,Wiederholen,13,,AFB_II,,K1 K2
6,2 - Addition und Subtraktion von Brüchen,Teste Dich!,1,Teste dich,AFB_II,,K5
6,2 - Addition und Subtraktion von Brüchen,Teste Dich!,2,Teste dich,AFB_II,,K6
6,2 - Addition und Subtraktion von Brüchen,Teste Dich!,3a,Teste dich,AFB_II,,K3 K5
6,2 - Addition und Subtraktion von Brüchen,Teste Dich!,3b,Teste dich,AFB_II,,K1 K2
6,2 - Addition und Subtraktion von Brüchen,Teste Dich!,4,Teste dich,AFB_II,,K5
6,2 - Addition und Subtraktion von Brüchen,Teste Dich!,5,Teste dich,AFB_II,,K1 K6
6,2 - Addition und Subtraktion von Brüchen,Teste Dich!,6,Teste dich,AFB_II,,K4 K6
6,2 - Addition und Subtraktion von Brüchen,Teste Dich!,7,Teste dich,AFB_II,,K1 K2 K5
6,2 - Addition und Subtraktion von Brüchen,Teste Dich!,8,Teste dich,AFB_II,,K2 K5
6,2 - Addition und Subtraktion von Brüchen,Teste Dich!,9,Teste dich,AFB_II,,K2 K3
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),1,,AFB_I,Ja,K5
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),2,,AFB_I,Ja,K5
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),3,,AFB_I,Ja,K3
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),4,,AFB_I,,K2 K6
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),5,,AFB_I,Ja,K5
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),6,,AFB_I,Ja,K2
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),7,,AFB_I,,K3
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),8,,AFB_I,Ja,K5 K6
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),9,Teste dich,AFB_II,Ja,K5
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),10,Teste dich,AFB_II,Ja,K3
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),11,,AFB_II,,K1 K4 K6
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),12,,AFB_II,,K2 K4
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),13,,AFB_II,Ja,K5
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),14,,AFB_II,,K2
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),15,,AFB_II,,K2
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),16,,AFB_II,Ja,K5
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),17,,AFB_II,,K3
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),18,,AFB_II,Ja,K1 K3
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),19,,AFB_II,Ja,K3
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),20,Teste dich,AFB_II,Ja,K2
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),21,Teste dich,AFB_II,Ja,K1 K3
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),22,,AFB_III,,K2 K3
6,3 - Multiplikation und Division von Brüchen,3.1 - Vervielfachen und Teilen von Brüchen (4 Aufgaben),23,Grundwissen,AFB_II,,K5
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),1,,AFB_I,Ja,K5
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),2,,AFB_I,Ja,K5
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),3,,AFB_I,Ja,K2 K6
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),4,,AFB_I,,K2 K4 K6
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),5,,AFB_I,,K2 K4 K6
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),6,,AFB_I,,K2 K6
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),7,,AFB_I,Ja,K3
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),8,,AFB_I,,K3 K6
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),9,,AFB_I,Ja,K3
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),10,Teste dich,AFB_II,Ja,K5
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),11,Teste dich,AFB_II,Ja,K1 K4 K6
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),12,Teste dich,AFB_II,Ja,K2
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),13,,AFB_II,Ja,K2 K4
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),14,,AFB_II,,K5
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),15,,AFB_II,Ja,K5
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),16,,AFB_II,,K1 K5 K6
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),17,,AFB_II,,K4 K5
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),18,,AFB_II,,K1
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),19,,AFB_II,,K1 K5
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),20,,AFB_II,Ja,K2
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),21,,AFB_II,,K3
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),22,,AFB_II,Ja,K2
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),23,Teste dich,AFB_II,Ja,K2 K4
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),24,Teste dich,AFB_II,Ja,K3
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),25,,AFB_III,,K2
6,3 - Multiplikation und Division von Brüchen,3.2 - Multiplizieren von Brüchen (6 Aufgaben),26,Grundwissen,AFB_II,,K2
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),1,,AFB_I,Ja,K6
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),2,,AFB_I,Ja,K5
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),3,,AFB_I,Ja,K5
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),4,,AFB_I,,K2
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),5,,AFB_I,Ja,K3
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),6,,AFB_I,,K5
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),7,,AFB_I,,K1 K2
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),8,,AFB_I,Ja,K3 K6
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),9,Teste dich,AFB_II,Ja,K5 K6
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),10,Teste dich,AFB_II,Ja,K5
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),11,,AFB_II,Ja,K4
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),12,,AFB_II,Ja,K2 K5
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),13,,AFB_II,,K2 K6
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),14,,AFB_II,,K2 K4
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),15,,AFB_II,Ja,K2 K6
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),16,,AFB_II,,K2 K4
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),17,,AFB_II,,K2
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),18,,AFB_II,Ja,K2
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),19,,AFB_II,Ja,K2 K3
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),20,,AFB_II,,K3
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),21,Teste dich,AFB_II,Ja,K2 K5
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),22,Teste dich,AFB_II,Ja,K2
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),23,Teste dich,AFB_II,Ja,K1 K2
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),24,,AFB_III,,K3
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),25,Grundwissen,AFB_II,,K1 K4
6,3 - Multiplikation und Division von Brüchen,3.3 - Dividieren von Brüchen (6 Aufgaben),26,Grundwissen,AFB_II,,
6,3 - Multiplikation und Division von Brüchen,3.4 - Dezimalbrüche und Zehnerpotzen (3 Aufgaben),1,,AFB_I,Ja,K5
6,3 - Multiplikation und Division von Brüchen,3.4 - Dezimalbrüche und Zehnerpotzen (3 Aufgaben),2,,AFB_I,Ja,K2
6,3 - Multiplikation und Division von Brüchen,3.4 - Dezimalbrüche und Zehnerpotzen (3 Aufgaben),3,,AFB_I,,K4
6,3 - Multiplikation und Division von Brüchen,3.4 - Dezimalbrüche und Zehnerpotzen (3 Aufgaben),4,Teste dich,AFB_II,Ja,K2 K4
6,3 - Multiplikation und Division von Brüchen,3.4 - Dezimalbrüche und Zehnerpotzen (3 Aufgaben),5,Teste dich,AFB_II,Ja,K6
6,3 - Multiplikation und Division von Brüchen,3.4 - Dezimalbrüche und Zehnerpotzen (3 Aufgaben),6,,AFB_II,Ja,K2 K6
6,3 - Multiplikation und Division von Brüchen,3.4 - Dezimalbrüche und Zehnerpotzen (3 Aufgaben),7,,AFB_II,,K2 K6
6,3 - Multiplikation und Division von Brüchen,3.4 - Dezimalbrüche und Zehnerpotzen (3 Aufgaben),8,,AFB_II,Ja,K2 K4
6,3 - Multiplikation und Division von Brüchen,3.4 - Dezimalbrüche und Zehnerpotzen (3 Aufgaben),9,,AFB_II,Ja,K3 K5
6,3 - Multiplikation und Division von Brüchen,3.4 - Dezimalbrüche und Zehnerpotzen (3 Aufgaben),10,,AFB_II,,K3
6,3 - Multiplikation und Division von Brüchen,3.4 - Dezimalbrüche und Zehnerpotzen (3 Aufgaben),11,Teste dich,AFB_II,Ja,K2
6,3 - Multiplikation und Division von Brüchen,3.4 - Dezimalbrüche und Zehnerpotzen (3 Aufgaben),12,Teste dich,AFB_II,Ja,K2 K4
6,3 - Multiplikation und Division von Brüchen,3.4 - Dezimalbrüche und Zehnerpotzen (3 Aufgaben),13,,AFB_III,,K2 K3
6,3 - Multiplikation und Division von Brüchen,3.4 - Dezimalbrüche und Zehnerpotzen (3 Aufgaben),14,Grundwissen,AFB_II,,K5
6,3 - Multiplikation und Division von Brüchen,3.5 - Multiplizieren von Dezimalbrüchen (4 Aufgaben),1,,AFB_I,Ja,K5
6,3 - Multiplikation und Division von Brüchen,3.5 - Multiplizieren von Dezimalbrüchen (4 Aufgaben),2,,AFB_I,,K5
6,3 - Multiplikation und Division von Brüchen,3.5 - Multiplizieren von Dezimalbrüchen (4 Aufgaben),3,,AFB_I,,K5
6,3 - Multiplikation und Division von Brüchen,3.5 - Multiplizieren von Dezimalbrüchen (4 Aufgaben),4,,AFB_I,Ja,K6
6,3 - Multiplikation und Division von Brüchen,3.5 - Multiplizieren von Dezimalbrüchen (4 Aufgaben),5,,AFB_I,Ja,K5
6,3 - Multiplikation und Division von Brüchen,3.5 - Multiplizieren von Dezimalbrüchen (4 Aufgaben),6,,AFB_I,Ja,K2 K6
6,3 - Multiplikation und Division von Brüchen,3.5 - Multiplizieren von Dezimalbrüchen (4 Aufgaben),7,,AFB_I,,K3
6,3 - Multiplikation und Division von Brüchen,3.5 - Multiplizieren von Dezimalbrüchen (4 Aufgaben),8,Teste dich,AFB_II,Ja,K5
6,3 - Multiplikation und Division von Brüchen,3.5 - Multiplizieren von Dezimalbrüchen (4 Aufgaben),9,Teste dich,AFB_II,Ja,K3
6,3 - Multiplikation und Division von Brüchen,3.5 - Multiplizieren von Dezimalbrüchen (4 Aufgaben),10,,AFB_II,Ja,K3
6,3 - Multiplikation und Division von Brüchen,3.5 - Multiplizieren von Dezimalbrüchen (4 Aufgaben),11,,AFB_II,Ja,K1 K2 K6
6,3 - Multiplikation und Division von Brüchen,3.5 - Multiplizieren von Dezimalbrüchen (4 Aufgaben),12,,AFB_II,,K2
6,3 - Multiplikation und Division von Brüchen,3.5 - Multiplizieren von Dezimalbrüchen (4 Aufgaben),13,,AFB_II,,K2 K3
6,3 - Multiplikation und Division von Brüchen,3.5 - Multiplizieren von Dezimalbrüchen (4 Aufgaben),14,,AFB_II,Ja,K2 K4
6,3 - Multiplikation und Division von Brüchen,3.5 - Multiplizieren von Dezimalbrüchen (4 Aufgaben),15,,AFB_II,,K2 K6
6,3 - Multiplikation und Division von Brüchen,3.5 - Multiplizieren von Dezimalbrüchen (4 Aufgaben),16,,AFB_II,Ja,K2 K4
6,3 - Multiplikation und Division von Brüchen,3.5 - Multiplizieren von Dezimalbrüchen (4 Aufgaben),17,,AFB_II,Ja,K2 K3
6,3 - Multiplikation und Division von Brüchen,3.5 - Multiplizieren von Dezimalbrüchen (4 Aufgaben),18,,AFB_II,,K2 K5
